GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator with JUnit5 and Cucumber tests,calculator,Divides,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Times,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Plus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Application,8,0,0,0,3,0,2,0,2,0
Calculator with JUnit5 and Cucumber tests,calculator,IllegalConstruction,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,MyNumber,13,49,1,7,3,17,2,12,1,9
Calculator with JUnit5 and Cucumber tests,calculator,Operation,7,149,1,11,2,39,2,16,1,11
Calculator with JUnit5 and Cucumber tests,calculator,Minus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Notation,0,21,0,0,0,4,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,Calculator,35,14,0,0,10,4,2,2,2,2
Calculator with JUnit5 and Cucumber tests,calculator.api.model,CalculatorModel,3,0,0,0,1,0,1,0,1,0
Calculator with JUnit5 and Cucumber tests,calculator.service,CalculatorService,0,73,0,5,0,19,0,6,0,2
Calculator with JUnit5 and Cucumber tests,calculator.api.controller,CalculatorRestController,13,0,0,0,4,0,2,0,2,0
Calculator with JUnit5 and Cucumber tests,visitor,Evaluator,0,67,0,4,0,15,0,6,0,4
Calculator with JUnit5 and Cucumber tests,visitor,Visitor,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,visitor,PrintVisitor,0,176,1,15,0,46,1,12,0,4
